city,latitude,longitude,name,reviews_rating,reviews_text
Northbrook,50.106529,8.760921,Sheraton Offenbach Hotel,2.0,I was disappointed with this hotel - it is definitely not up to the normal Sheraton standard. The internet charges were overly expensive and the system they used was difficult to use. Overall the hotel rooms were dated and the air-conditioning didn't work.
Abilene,32.40399,-99.76546,Hampton Inn Abilene,3.0,"Hotel was clean but in need of an upgrade. The in room guest showed only one ice machine next to the front desk but when I went down I was told there ie only one machine and it's on the 3rd floor. It would be nice to have more than one machine in a 4 story hotel,"
Fort Collins,40.5833,-105.00756,Super 8 Fort Collins,3.0,"It was way too noisey with people in and out at all times before and during the night. Very hard to sleep. The smoking area right outside the door that I had to walk through, always had 2-3 people and I think the smoking area should be moved away from the building."
Lavonia,34.444512,-83.120563,Hotel Lavonia,1.0,"The motel was mostly vacant. There apparently had been a flooded room as fans were operating in the hallway. Not a pleasant odor. Room was only passable. I probably won't be in the area again, but if I was, I wouldn't stay there."
Coralville,41.70064,-91.607,Americinn Coralville,5.0,"Honestly, we had a great night, room was clean, ac worked perfectly, guest service was great and nobody bothered us... Plus the local area is safe and full of foods spots. What more could you ask for Definitely worth it paying in advance because you'll save around 10. Thanks guys"
Bossier City,32.52313,-93.70201,Quality Inn and Suites,4.0,"Desk clerk was courteous and helpful,beds were very comfortable the only downside was we were placed next to a connecting room and the person was on the phone talking very loud very early in the morning"
Boone,42.035281,-93.876328,Baymont Inn and Suites Boone,4.0,"The breakfast had a good selection of foods. We stayed here because it had a swimming pool. It was inside, but it was not heated. After 20 minutes we had to get out because the little kids were shivering so badly. We thought it might have a hot tub, but it didn't. We thought we were going to have queen beds, but they were only double. The staff was friendly enough. The stay was OK but a bit overpriced for what we thought we were getting."
Medina,37.850643,15.293988,Villa Carlotta,5.0,Excellent. A small and charming hotel located in the upper part of Taormina with breathtaking views of the Mediterranean and Etna.
Harrisburg,40.277723,-76.821103,Holiday Inn Express - Harrisburg East,2.0,"First -- Expedia allowed me to select 2 queen beds but apparently, this is not truly an option through Expedia so I was reserved for 1 King bed for 4 people. (I did end up getting 2 queens). Room is small and standard - 2 beds, desk, chair, big TV, mini fridge. The hotel room was damp and musty. Even with all the lights on and window shades open, the room is dark. There was definitely a smell in the room."
West Deptford,39.83456,-75.08841,Residence Inn By Marriott Deptford,5.0,We stayed at this hotel since my daughter had a 3 day swim meet at GCIT. The hotel room was spotless and bed was extremely comfortable. We had great shower pressure and my daughter loved swimming in the pool between her sessions. As always loved having the kitchen for early breakfasts and late night dinners. Unfortunately we only ate the free breakfast once due to time constraints in the morning. Breakfast was very good with a good selection of hot and cold foods. Would absolutely stay at this hotel again.
Grand Rapids,42.91294,-85.5323,Best Western Hospitality Hotel and Suites,5.0,"We frequently stay at this hotel. The staff is wonderful, clean rooms and pool area. You get a 15 percent discount at Branns Restaurant next door when you tell them your stating at the Best Western ! They too have great food and service! If I had to say I could better one thing about our stay it would have to be that the hot tub jets do not bubble the hot tub , they only blow. That is the main purpose and reason many do enjoy a hot tub. Other than that I give this Best western 5 stars! Let me add they have a really good breakfast bar as well free w stay! Always reasonable priced stay!"
Bangor,44.791314,-68.810204,Days Inn Bangor Airport,5.0,Stayed 1 night went to the Darling Waterfront on Aug 12. The staff was so friendly called the local cab company for a cab to the concert. there a Ground Round next door and plenty of parking.Plus free breakfast. If going to a concert great location.Customer Service A1
Telluride,37.933273,-107.850865,Mountain Lodge At Telluride - A Noble House Resort,5.0,"Parking is $20 per night no matter what, but there's a shuttle to take you around the area and the rooms are pretty nice. Check out the pool and hot tub"
Cranberry Twp,40.67519,-80.10058,Hyatt Place Pittsburgh Cranberry,4.0,"We were in between college visits and the Hyatt Place was the perfect stop for us. The hotel was clean, the breakfast was plentiful and delicious and the rooms were big for our family of 4."
Irvine,33.67971,-117.837279,Residence Inn By Marriott Irvine John Wayne Airport,3.0,"Stayed here for a combo business/family trip. The weather was hot and the room was warm when we checked in. The A/C struggled to cool the room overnight, but finally by morning the temp was comfortable. There was no hotel or area info in the room - you're directed to a calendar card on your fridge and a large touchscreen... More"
Telluride,37.933273,-107.850865,Mountain Lodge At Telluride - A Noble House Resort,5.0,"What a great family vacations in this beautiful place! Cabins are cozy, beautiful deco. The gondola view is simply amazing. If you are planning to go, try to do it the first few days of June to enjoy the Balloon festival."
Meridian,32.350392,-88.691659,La Quinta Inn and Suites Meridian,2.0,"Underwhelmed. This hotel smells bad, has some loud, partying guests. Front desk was very nice, but the rest of the staff seems to let the riff raff run rampant. I didn't feel safe (as a female) being in the parking lot alone. As a frequent guest of La Quinta, this location was well below my expectations."
San Antonio,29.487838,-98.583884,Fiesta Inn and Suites,1.0,Arrived at 9:00 pm no towels door hinge screws were loose making it difficult to shut door cable was not working roach infested big advertisement of Continental Breakfast but in the morning no sign of any breakfast went to front desk again for towels they still didn't have available front desk receptionist more interested on visiting with friends that were at her work.
Grand Rapids,42.91294,-85.5323,Best Western Hospitality Hotel and Suites,1.0,"Filthy room, drunk adults and teenagers wandering the hallways, paper thin walls. We were relocating for my work and had a four night reservation. Cancelled it an hour after arrival and spent a miserable night"
Northbrook,50.106529,8.760921,Sheraton Offenbach Hotel,4.0,"fourth visit - good location for my business needs Helpful, friendly staff. Tube stop markt-platz right next to hotel."
Prescott Valley,34.585531,-112.326875,Arizona Inn of Prescott Valley,5.0,"It's hard to find a reasonably priced hotel that doesn't smell musty, including non-smoking rooms. We were pleasantly surprised by the clean fresh smell and the room temperature was perfect. We were pleased with the continental breakfast and it's many choices. We'll come back again."
Ashburn,53.566245,9.988144,Hotel Vorbach,3.0,The room was nice and comfortable but the service went from good to bad as soon as I told them I booked with hotels.com. They told me for one hour they havent got the booking and normaly it doesnt take more than 10 minutes. After I called hotels.com and they send a new confirmation I got a room.
Palermo,38.160424,13.331846,Hotel Casena Dei Colli,5.0,"La struttura molto bella , la colazione troppo scarsa per il livello del hotel Manca la scelta di yogurt e alimenti naturali Assente il bio e per il celiaco Assente la colazione internazionale ( uova ,pancetta e varie) Dolci per essere la Sicilia scarsi"
